district,state,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon
ROHTAS,BIHAR,24.991707081069638,83.93507661248137,24.504949569702205,25.3756103515625,83.49320220947271,84.45775604248053
SAHARSA,BIHAR,25.821266647245103,86.54670705951632,25.595960617065487,26.0790691375733,86.30371856689464,86.8698196411134
SAMASTIPUR,BIHAR,25.793204575732293,85.94833394674443,25.464021682739258,26.091341018676758,85.52523040771501,86.40994262695324
SARAN,BIHAR,25.896559309816677,84.82266397533307,25.625020980834904,26.22272109985363,84.40239715576178,85.19439697265636
SHEIKHPURA,BIHAR,25.124725622574136,85.77839195909844,24.973148345947322,25.27781105041504,85.59686279296886,85.95852661132807
SHEOHAR,BIHAR,26.458379857680416,85.29539689660714,26.326709747314453,26.646909713745174,85.17278289794928,85.46850585937511
SITAMARHI,BIHAR,26.565701836908424,85.61172759159115,26.271900177002237,27.850715637207315,85.23069763183611,87.30680084228544
SIWAN,BIHAR,26.173638340556213,84.3376687476253,25.889669418335018,26.376361846923885,84.00211334228527,84.7741317749024
SUPAUL,BIHAR,26.2815810185668,86.78496689526682,25.998857498169002,26.556596755981502,86.3895874023437,87.10484313964838
VAISHALI,BIHAR,25.813468946585004,85.39247794538845,25.485349655151424,26.016477584838867,85.06133270263672,85.63044738769543
CHANDIGARH,CHANDIGARH,30.74259418330786,76.75872593709872,30.66931915283203,30.799039840698356,76.69062805175787,76.83629608154297
BASTAR,CHHATTISGARH,19.39386351822602,81.52895169330743,18.59509086608898,20.191089630127067,80.65589141845732,82.23956298828153
BILASPUR,CHHATTISGARH,22.35694012725568,81.99770424379952,21.709239959716797,23.116817474365178,81.47659301757841,83.0150680541995
DANTEWADA,CHHATTISGARH,18.653852648459996,81.07200117294616,17.782831192016715,19.400920867919865,80.23956298828142,81.9545288085938
DHAMTARI,CHHATTISGARH,20.55491102882902,81.75691812052993,20.04171943664562,21.023651123046875,81.40467834472668,82.16720581054693
DURG,CHHATTISGARH,21.19446033858481,81.33181794549212,20.375049591064453,22.0239200592041,80.79843139648455,81.93541717529297
JANJGIR-CHAMPA,CHHATTISGARH,21.961091417532753,82.80495284153875,21.675510406494197,22.257841110229492,82.30162048339861,83.31365203857439
JASHPUR,CHHATTISGARH,22.772860041635532,83.87039496751139,22.289489746093864,23.244541168212947,83.38691711425787,84.38964843750006
KANKER,CHHATTISGARH,20.139458563614575,81.06913317408565,19.690750122070256,20.553070068359375,80.39470672607428,81.80937194824224
KAWARDHA,CHHATTISGARH,22.04799926304587,81.16271179501385,21.701459884643555,22.524330139160156,80.81844329834001,81.55661010742205
